Sampler,Jobs,Operations on each job,Machines on each operation,Equipments on each operation,Variables before pruning,BQM Variables,BQM Interactions,Lowest energy,Lowest Energy
SimulatedAnnealingSampler,1,1,3,1,3,3,3,,0.0
TabuSampler,1,1,3,1,3,3,3,,0.0
SteepestDescentSampler,1,1,3,1,3,3,3,,0.0
SimulatedAnnealingSampler,1,2,3,1,12,6,6,,0.0
TabuSampler,1,2,3,1,12,6,6,,0.0
SteepestDescentSampler,1,2,3,1,12,6,6,,0.0
SimulatedAnnealingSampler,1,3,3,1,27,9,9,,0.0
TabuSampler,1,3,3,1,27,9,9,,0.0
SteepestDescentSampler,1,3,3,1,27,9,9,,0.0
SimulatedAnnealingSampler,2,1,3,1,12,12,48,,3.0
TabuSampler,2,1,3,1,12,12,48,,3.0
SteepestDescentSampler,2,1,3,1,12,12,48,,3.0
SimulatedAnnealingSampler,2,2,3,1,48,36,288,,9.0
TabuSampler,2,2,3,1,48,36,288,,9.0
SteepestDescentSampler,2,2,3,1,48,36,288,,9.0
SimulatedAnnealingSampler,2,3,3,1,108,72,900,,27.0
TabuSampler,2,3,3,1,108,72,900,,27.0
SteepestDescentSampler,2,3,3,1,108,72,900,,27.0
SimulatedAnnealingSampler,3,1,3,1,27,27,189,,20.0
TabuSampler,3,1,3,1,27,27,189,,20.0
SteepestDescentSampler,3,1,3,1,27,27,189,,20.0
SimulatedAnnealingSampler,3,2,3,1,108,90,1386,,272.0
TabuSampler,3,2,3,1,108,90,1386,,272.0
SteepestDescentSampler,3,2,3,1,108,90,1386,,272.0
SimulatedAnnealingSampler,3,3,3,1,243,189,4644,,4160.0
TabuSampler,3,3,3,1,243,189,4644,,4160.0
SteepestDescentSampler,3,3,3,1,243,189,4644,,4160.0
